date,close_price,open_price,high_price,low_price,is_complete,volume
2023-02-15 20:00:00+00:00,153.09,152.90,153.26,152.25,True,81781
2023-02-16 06:00:00+00:00,154.01,154.01,154.01,154.01,True,4244
2023-02-16 07:00:00+00:00,153.30,154.04,154.50,151.62,True,509183
2023-02-16 08:00:00+00:00,153.74,153.30,154.22,153.03,True,195096
2023-02-16 09:00:00+00:00,152.90,153.75,153.75,152.70,True,165014
2023-02-16 10:00:00+00:00,152.69,152.90,152.92,152.50,True,111406
2023-02-16 11:00:00+00:00,153.20,152.70,153.50,152.65,True,134090
2023-02-16 12:00:00+00:00,152.82,153.18,153.46,152.65,True,114360
2023-02-16 13:00:00+00:00,152.24,152.82,152.89,152.17,True,90320
2023-02-16 14:00:00+00:00,152.74,152.25,153.04,152.15,True,120275
2023-02-16 15:00:00+00:00,153.10,152.74,153.10,152.58,True,132496
2023-02-16 16:00:00+00:00,152.88,153.20,153.20,152.70,True,30579
2023-02-16 17:00:00+00:00,153.03,152.88,153.09,152.72,True,25056
2023-02-16 18:00:00+00:00,153.03,153.05,153.28,153.00,True,17968
2023-02-16 19:00:00+00:00,153.31,153.03,153.32,152.90,True,37987
2023-02-16 20:00:00+00:00,153.56,153.27,153.60,153.12,True,44112
2023-02-17 06:00:00+00:00,153.40,153.40,153.40,153.40,True,1760
2023-02-17 07:00:00+00:00,153.82,153.39,154.30,152.83,True,272721
2023-02-17 08:00:00+00:00,154.05,153.82,154.10,153.27,True,125937
2023-02-17 09:00:00+00:00,154.65,154.05,155.08,154.05,True,301413
2023-02-17 10:00:00+00:00,154.47,154.65,154.66,154.24,True,89176
2023-02-17 11:00:00+00:00,153.90,154.47,154.47,153.52,True,151800
2023-02-17 12:00:00+00:00,153.70,153.90,154.00,153.31,True,97427
2023-02-17 13:00:00+00:00,153.58,153.70,153.76,153.45,True,54513
2023-02-17 14:00:00+00:00,153.28,153.58,153.58,153.11,True,64138
2023-02-17 15:00:00+00:00,153.78,153.28,153.78,153.25,True,58560
2023-02-17 16:00:00+00:00,153.61,153.78,153.78,153.44,True,23450
2023-02-17 17:00:00+00:00,153.65,153.61,153.75,153.57,True,17808
2023-02-17 18:00:00+00:00,153.53,153.61,153.71,153.50,True,17415
2023-02-17 19:00:00+00:00,153.45,153.56,153.63,153.40,True,23014
2023-02-17 20:00:00+00:00,153.62,153.45,153.62,153.26,True,27018
2023-02-18 07:00:00+00:00,153.61,153.15,155.75,152.95,True,3839
2023-02-18 08:00:00+00:00,155.00,154.54,156.35,153.62,True,2926
2023-02-18 09:00:00+00:00,154.19,155.03,155.82,153.98,True,1824
2023-02-18 10:00:00+00:00,155.10,155.12,155.76,153.89,True,1901
2023-02-18 11:00:00+00:00,153.61,155.10,155.90,153.61,True,2341
2023-02-18 12:00:00+00:00,154.09,154.54,155.30,153.40,True,1462
2023-02-18 13:00:00+00:00,154.66,155.04,156.49,153.25,True,2598
2023-02-18 14:00:00+00:00,153.75,153.64,154.88,153.50,True,1062
2023-02-18 15:00:00+00:00,153.65,153.74,154.78,153.60,True,641
2023-02-19 07:00:00+00:00,155.24,154.58,155.42,153.64,True,2111
2023-02-19 08:00:00+00:00,155.24,154.30,155.66,154.00,True,1602
2023-02-19 09:00:00+00:00,155.24,154.30,155.57,153.55,True,1953
2023-02-19 10:00:00+00:00,155.52,155.25,155.62,153.93,True,1686
2023-02-19 11:00:00+00:00,154.04,154.58,155.68,153.15,True,1547
2023-02-19 12:00:00+00:00,153.95,154.05,154.16,151.73,True,3492
2023-02-19 13:00:00+00:00,154.58,153.95,154.85,152.33,True,2550
2023-02-19 14:00:00+00:00,153.37,153.63,154.55,153.24,True,797
2023-02-19 15:00:00+00:00,154.27,153.37,154.64,153.20,True,833
2023-02-20 06:00:00+00:00,153.62,153.62,153.62,153.62,True,3039
2023-02-20 07:00:00+00:00,152.47,153.63,153.86,152.02,True,275938
2023-02-20 08:00:00+00:00,152.01,152.47,152.78,152.00,True,156227
2023-02-20 09:00:00+00:00,152.08,152.04,152.08,152.00,True,139387
2023-02-20 10:00:00+00:00,152.08,152.08,152.08,151.62,True,168072
2023-02-20 11:00:00+00:00,152.08,152.07,152.08,151.65,True,65917
2023-02-20 12:00:00+00:00,152.66,152.08,152.70,152.03,True,98673
2023-02-20 13:00:00+00:00,153.27,152.66,153.50,152.39,True,154387
2023-02-20 14:00:00+00:00,154.06,153.23,154.30,153.04,True,182633
2023-02-20 15:00:00+00:00,154.10,154.06,154.29,153.72,True,114246
2023-02-20 16:00:00+00:00,153.73,154.04,154.09,153.60,True,45483
2023-02-20 17:00:00+00:00,153.50,153.72,153.73,153.29,True,36838
2023-02-20 18:00:00+00:00,153.35,153.54,153.71,153.18,True,33423
2023-02-20 19:00:00+00:00,153.40,153.35,153.52,153.00,True,42358
2023-02-20 20:00:00+00:00,153.24,153.42,153.50,153.13,True,14722
2023-02-21 06:00:00+00:00,153.61,153.61,153.61,153.61,True,1806
