date,close_price,open_price,high_price,low_price,is_complete,volume
2023-02-15 20:00:00+00:00,155.40,154.86,156.47,154.81,True,130751
2023-02-16 06:00:00+00:00,156.00,156.00,156.00,156.00,True,2939
2023-02-16 07:00:00+00:00,157.15,156.20,157.70,155.29,True,137049
2023-02-16 08:00:00+00:00,158.19,157.16,158.46,157.06,True,93203
2023-02-16 09:00:00+00:00,157.19,158.19,158.22,156.56,True,70014
2023-02-16 10:00:00+00:00,158.13,157.23,158.18,156.86,True,25398
2023-02-16 11:00:00+00:00,157.98,158.12,158.20,157.62,True,25741
2023-02-16 12:00:00+00:00,156.96,158.02,158.17,156.65,True,18463
2023-02-16 13:00:00+00:00,155.75,156.95,157.19,155.71,True,38735
2023-02-16 14:00:00+00:00,156.70,155.75,157.65,155.50,True,44631
2023-02-16 15:00:00+00:00,156.76,156.70,156.89,156.14,True,26508
2023-02-16 16:00:00+00:00,156.68,156.76,156.98,156.19,True,7014
2023-02-16 17:00:00+00:00,156.99,156.68,157.56,156.61,True,10561
2023-02-16 18:00:00+00:00,157.08,156.99,157.28,156.92,True,3578
2023-02-16 19:00:00+00:00,157.07,157.07,157.19,156.97,True,3477
2023-02-16 20:00:00+00:00,157.25,157.07,157.25,156.60,True,22776
2023-02-17 06:00:00+00:00,156.80,156.80,156.80,156.80,True,632
2023-02-17 07:00:00+00:00,156.65,156.74,157.06,155.00,True,163616
2023-02-17 08:00:00+00:00,157.41,156.67,157.46,156.27,True,31921
2023-02-17 09:00:00+00:00,158.15,157.41,158.74,157.40,True,64422
2023-02-17 10:00:00+00:00,157.79,158.10,158.30,157.26,True,33969
2023-02-17 11:00:00+00:00,157.70,157.79,157.90,157.09,True,22017
2023-02-17 12:00:00+00:00,157.50,157.70,157.70,157.12,True,11666
2023-02-17 13:00:00+00:00,157.47,157.50,157.89,157.27,True,21466
2023-02-17 14:00:00+00:00,157.69,157.47,157.70,157.30,True,14009
2023-02-17 15:00:00+00:00,158.04,157.69,158.80,157.60,True,35144
2023-02-17 16:00:00+00:00,157.75,158.34,158.34,157.48,True,28997
2023-02-17 17:00:00+00:00,157.87,157.75,158.00,157.70,True,4618
2023-02-17 18:00:00+00:00,157.88,157.92,158.08,157.50,True,11343
2023-02-17 19:00:00+00:00,157.98,157.90,157.99,157.77,True,5053
2023-02-17 20:00:00+00:00,157.97,157.98,157.98,157.54,True,15183
2023-02-18 07:00:00+00:00,158.89,158.69,160.75,157.63,True,1661
2023-02-18 08:00:00+00:00,159.83,158.88,160.00,158.50,True,354
2023-02-18 09:00:00+00:00,158.61,159.89,159.97,158.58,True,218
2023-02-18 10:00:00+00:00,158.40,159.90,159.96,158.35,True,240
2023-02-18 11:00:00+00:00,158.44,159.69,159.76,158.30,True,154
2023-02-18 12:00:00+00:00,158.44,159.73,159.74,158.39,True,85
2023-02-18 13:00:00+00:00,159.69,159.73,159.76,158.30,True,194
2023-02-18 14:00:00+00:00,158.48,159.70,159.76,158.26,True,227
2023-02-18 15:00:00+00:00,159.64,159.76,159.84,158.21,True,416
2023-02-19 07:00:00+00:00,159.05,158.35,159.70,157.58,True,489
2023-02-19 08:00:00+00:00,158.95,159.05,159.05,157.50,True,298
2023-02-19 09:00:00+00:00,158.87,157.64,158.95,157.55,True,167
2023-02-19 10:00:00+00:00,157.60,158.88,158.91,157.57,True,121
2023-02-19 11:00:00+00:00,158.84,158.87,158.89,157.56,True,101
2023-02-19 12:00:00+00:00,157.97,157.56,159.26,157.37,True,331
2023-02-19 13:00:00+00:00,159.37,157.97,159.54,157.96,True,203
2023-02-19 14:00:00+00:00,157.95,158.09,159.36,157.95,True,97
2023-02-19 15:00:00+00:00,157.38,157.95,159.23,157.37,True,310
2023-02-20 06:00:00+00:00,157.92,157.92,157.92,157.92,True,2184
2023-02-20 07:00:00+00:00,156.55,157.83,158.45,156.09,True,97795
2023-02-20 08:00:00+00:00,155.41,156.55,156.74,155.23,True,71849
2023-02-20 09:00:00+00:00,155.30,155.39,155.62,155.16,True,40543
2023-02-20 10:00:00+00:00,155.37,155.32,155.59,155.10,True,32040
2023-02-20 11:00:00+00:00,155.25,155.38,155.40,155.08,True,17847
2023-02-20 12:00:00+00:00,155.90,155.26,156.04,155.25,True,56290
2023-02-20 13:00:00+00:00,156.63,155.90,157.00,155.80,True,48311
2023-02-20 14:00:00+00:00,157.82,156.64,157.96,156.58,True,32316
2023-02-20 15:00:00+00:00,158.03,157.83,158.25,157.50,True,36819
2023-02-20 16:00:00+00:00,157.53,158.28,158.73,157.50,True,35396
2023-02-20 17:00:00+00:00,157.36,157.51,157.95,157.34,True,10170
2023-02-20 18:00:00+00:00,157.60,157.40,157.66,157.36,True,5371
2023-02-20 19:00:00+00:00,157.74,157.59,157.89,157.42,True,9702
2023-02-20 20:00:00+00:00,157.71,157.71,157.85,157.56,True,4061
2023-02-21 06:00:00+00:00,157.99,157.99,157.99,157.99,True,1189
2023-02-21 07:00:00+00:00,159.38,157.98,159.40,157.77,True,93506
2023-02-21 08:00:00+00:00,160.33,159.40,160.68,158.51,True,111717
2023-02-21 09:00:00+00:00,163.88,160.39,163.97,160.25,True,334847
2023-02-21 10:00:00+00:00,162.17,163.90,164.00,161.30,True,212086
2023-02-21 11:00:00+00:00,162.36,162.17,162.49,160.96,True,100435
2023-02-21 12:00:00+00:00,161.77,162.36,162.49,161.53,True,37433
2023-02-21 13:00:00+00:00,162.49,161.82,162.49,161.68,True,32490
2023-02-21 14:00:00+00:00,162.72,162.47,162.80,162.33,True,47635
2023-02-21 15:00:00+00:00,162.50,162.72,162.74,162.05,True,25976
2023-02-21 16:00:00+00:00,162.28,162.12,162.52,162.05,True,10886
2023-02-21 17:00:00+00:00,162.85,162.28,162.89,162.26,True,16126
2023-02-21 18:00:00+00:00,162.55,162.85,162.88,162.31,True,7763
2023-02-21 19:00:00+00:00,162.46,162.55,162.59,162.15,True,8522
2023-02-21 20:00:00+00:00,162.44,162.48,162.49,162.33,True,3987
2023-02-22 06:00:00+00:00,162.58,162.58,162.58,162.58,True,458
2023-02-22 07:00:00+00:00,161.25,162.63,162.80,161.07,True,95209
2023-02-22 08:00:00+00:00,161.47,161.22,161.90,161.03,True,28427
2023-02-22 09:00:00+00:00,161.45,161.43,161.74,161.20,True,18508
2023-02-22 10:00:00+00:00,161.27,161.45,161.55,161.00,True,31960
2023-02-22 11:00:00+00:00,160.92,161.31,161.35,160.61,True,33660
2023-02-22 12:00:00+00:00,162.01,160.97,162.05,160.90,True,30031
2023-02-22 13:00:00+00:00,161.64,161.99,162.00,161.51,True,22630
2023-02-22 14:00:00+00:00,161.96,161.64,161.99,161.63,True,16680
2023-02-22 15:00:00+00:00,161.83,161.95,161.99,161.70,True,11232
2023-02-22 16:00:00+00:00,162.18,161.91,162.22,161.70,True,7652
2023-02-22 17:00:00+00:00,161.93,162.21,162.21,161.88,True,4209
2023-02-22 18:00:00+00:00,161.86,161.93,161.94,161.73,True,4210
2023-02-22 19:00:00+00:00,161.64,161.86,161.86,161.63,True,6172
2023-02-22 20:00:00+00:00,161.75,161.64,161.87,161.51,True,7078
2023-02-23 07:00:00+00:00,161.52,162.40,162.83,161.23,True,320
2023-02-23 08:00:00+00:00,162.95,162.83,163.01,161.50,True,177
2023-02-23 09:00:00+00:00,162.47,162.96,163.05,160.82,True,618
2023-02-23 10:00:00+00:00,161.23,162.47,162.81,160.98,True,505
2023-02-23 11:00:00+00:00,162.26,161.21,162.76,160.95,True,404
2023-02-23 12:00:00+00:00,162.55,162.26,162.55,160.99,True,220
2023-02-23 13:00:00+00:00,162.88,162.55,162.88,161.24,True,154
2023-02-23 14:00:00+00:00,162.47,161.57,162.88,161.14,True,266
2023-02-23 15:00:00+00:00,162.33,162.47,162.65,161.04,True,276
2023-02-24 06:00:00+00:00,161.26,161.26,161.26,161.26,True,386
2023-02-24 07:00:00+00:00,162.85,161.26,163.59,161.26,True,54819
