,date,close_price_AFLT,close_price_FEES,close_price_FIVE,close_price_FLOT,close_price_GAZP,close_price_GMKN,close_price_LKOH,close_price_NVDA,close_price_SBERP,close_price_SMLT,close_price_SVAV,close_price_TRMK,close_price_VTBR,close_price_YNDX
0,2023-02-15 20:00:00+00:00,26.65,0.09,1452.00,,153.09,14500.00,3829.00,227.67,155.40,,,,0.02,1969.20
1,2023-02-15 21:00:00+00:00,,,,,,,,227.33,,,,,,
2,2023-02-15 22:00:00+00:00,,,,,,,,227.50,,,,,,
3,2023-02-16 06:00:00+00:00,26.90,0.09,1460.50,44.10,154.01,14598.00,3840.00,,156.00,2539.50,220.00,83.62,0.02,1980.00
4,2023-02-16 07:00:00+00:00,27.28,0.09,1486.00,45.13,153.30,14654.00,3860.00,228.11,157.15,2594.00,228.50,84.96,0.02,1999.80
5,2023-02-16 08:00:00+00:00,27.52,0.09,1487.00,46.01,153.74,14636.00,3868.50,225.97,158.19,2610.00,228.00,85.42,0.02,2009.20
6,2023-02-16 09:00:00+00:00,27.27,0.09,1468.50,45.87,152.90,14556.00,3860.00,226.18,157.19,2596.00,224.00,84.96,0.02,1998.80
7,2023-02-16 10:00:00+00:00,27.34,0.09,1473.00,45.95,152.69,14516.00,3867.50,224.04,158.13,2598.00,225.00,85.20,0.02,2001.00
8,2023-02-16 11:00:00+00:00,27.45,0.09,1468.50,45.90,153.20,14480.00,3864.00,224.88,157.98,2584.00,226.50,85.06,0.02,1994.80
9,2023-02-16 12:00:00+00:00,27.33,0.09,1460.50,45.32,152.82,14428.00,3839.00,225.28,156.96,2578.00,224.50,84.90,0.02,1990.40
10,2023-02-16 13:00:00+00:00,27.02,0.09,1422.00,44.75,152.24,14362.00,3821.00,221.90,155.75,2566.50,221.50,84.72,0.02,1969.80
11,2023-02-16 14:00:00+00:00,27.22,0.09,1422.00,44.98,152.74,14376.00,3840.50,222.28,156.70,2561.00,223.00,84.66,0.02,1970.20
12,2023-02-16 15:00:00+00:00,27.20,0.09,1389.00,45.00,153.10,14316.00,3811.50,222.81,156.76,2553.50,225.00,84.60,0.02,1958.00
13,2023-02-16 16:00:00+00:00,27.28,0.09,1413.50,,152.88,14350.00,3824.50,223.15,156.68,,,,0.02,1972.60
14,2023-02-16 17:00:00+00:00,27.33,0.09,1416.50,,153.03,14406.00,3826.00,224.02,156.99,,,,0.02,1977.80
15,2023-02-16 18:00:00+00:00,27.45,0.09,1416.00,,153.03,14390.00,3827.00,225.13,157.08,,,,0.02,1977.40
16,2023-02-16 19:00:00+00:00,27.49,0.09,1414.00,,153.31,14408.00,3829.00,224.24,157.07,,,,0.02,1973.60
17,2023-02-16 20:00:00+00:00,27.43,0.09,1417.50,,153.56,14398.00,3830.00,219.96,157.25,,,,0.02,1976.40
18,2023-02-16 21:00:00+00:00,,,,,,,,218.66,,,,,,
19,2023-02-16 22:00:00+00:00,,,,,,,,218.45,,,,,,
